"agency_cd","site_no","Date","GH","GH_cd"
"USGS","03447687",2002-01-15,4.07,"A"
"USGS","03447687",2002-01-16,4.02,"A"
"USGS","03447687",2002-01-17,4,"A"
"USGS","03447687",2002-01-18,4,"A"
"USGS","03447687",2002-01-19,4.3,"A"
"USGS","03447687",2002-01-20,5.7,"A"
"USGS","03447687",2002-01-21,5.43,"A"
"USGS","03447687",2002-01-22,5.24,"A"
"USGS","03447687",2002-01-23,5.86,"A"
"USGS","03447687",2002-01-24,6.52,"A"
"USGS","03447687",2002-01-25,6.78,"A"
"USGS","03447687",2002-01-26,6.23,"A"
"USGS","03447687",2002-01-27,5.63,"A"
"USGS","03447687",2002-01-28,5.33,"A"
"USGS","03447687",2002-01-29,5.12,"A"
"USGS","03447687",2002-01-30,4.96,"A"
"USGS","03447687",2002-01-31,4.85,"A"
"USGS","03447687",2002-02-01,4.8,"A"
"USGS","03447687",2002-02-02,4.73,"A"
"USGS","03447687",2002-02-03,4.61,"A"
"USGS","03447687",2002-02-04,4.57,"A"
"USGS","03447687",2002-02-05,4.48,"A"
"USGS","03447687",2002-02-06,4.44,"A"
"USGS","03447687",2002-02-07,5.27,"A"
"USGS","03447687",2002-02-08,5.63,"A"
"USGS","03447687",2002-02-09,5.14,"A"
"USGS","03447687",2002-02-10,4.95,"A"
"USGS","03447687",2002-02-11,4.88,"A"
"USGS","03447687",2002-02-12,4.76,"A"
"USGS","03447687",2002-02-13,4.67,"A"
"USGS","03447687",2002-02-14,4.59,"A"
"USGS","03447687",2002-02-15,4.54,"A"
"USGS","03447687",2002-02-16,4.5,"A"
"USGS","03447687",2002-02-17,4.45,"A"
"USGS","03447687",2002-02-18,4.39,"A"
"USGS","03447687",2002-02-19,4.34,"A"
"USGS","03447687",2002-02-20,4.36,"A"
"USGS","03447687",2002-02-21,4.5,"A"
"USGS","03447687",2002-02-22,4.42,"A"
"USGS","03447687",2002-02-23,4.32,"A"
"USGS","03447687",2002-02-24,4.29,"A"
"USGS","03447687",2002-02-25,4.24,"A"
"USGS","03447687",2002-02-26,4.23,"A"
"USGS","03447687",2002-02-27,4.2,"A"
"USGS","03447687",2002-02-28,4.15,"A"
"USGS","03447687",2002-03-01,4.13,"A"
"USGS","03447687",2002-03-02,4.46,"A"
"USGS","03447687",2002-03-03,6.27,"A"
"USGS","03447687",2002-03-04,5.46,"A"
"USGS","03447687",2002-03-05,4.94,"A"
"USGS","03447687",2002-03-06,4.77,"A"
"USGS","03447687",2002-03-07,4.66,"A"
"USGS","03447687",2002-03-08,4.58,"A"
"USGS","03447687",2002-03-09,4.52,"A"
"USGS","03447687",2002-03-10,4.54,"A"
"USGS","03447687",2002-03-11,4.46,"A"
"USGS","03447687",2002-03-12,4.51,"A"
"USGS","03447687",2002-03-13,5.49,"A"
"USGS","03447687",2002-03-14,5.79,"A"
"USGS","03447687",2002-03-15,5.22,"A"
"USGS","03447687",2002-03-16,5.05,"A"
"USGS","03447687",2002-03-17,5.25,"A"
"USGS","03447687",2002-03-18,5.57,"A"
"USGS","03447687",2002-03-19,5.24,"A"
"USGS","03447687",2002-03-20,5.11,"A"
"USGS","03447687",2002-03-21,5.42,"A"
"USGS","03447687",2002-03-22,5.45,"A"
"USGS","03447687",2002-03-23,5.16,"A"
"USGS","03447687",2002-03-24,5.01,"A"
"USGS","03447687",2002-03-25,4.9,"A"
"USGS","03447687",2002-03-26,4.95,"A"
"USGS","03447687",2002-03-27,5.21,"A"
"USGS","03447687",2002-03-28,4.96,"A"
"USGS","03447687",2002-03-29,4.83,"A"
"USGS","03447687",2002-03-30,5.06,"A"
"USGS","03447687",2002-03-31,5.34,"A"
"USGS","03447687",2002-04-01,5.35,"A"
"USGS","03447687",2002-04-02,5.16,"A"
"USGS","03447687",2002-04-03,5,"A"
"USGS","03447687",2002-04-04,4.89,"A"
"USGS","03447687",2002-04-05,4.8,"A"
"USGS","03447687",2002-04-06,4.72,"A"
"USGS","03447687",2002-04-07,4.65,"A"
"USGS","03447687",2002-04-08,4.61,"A"
"USGS","03447687",2002-04-09,4.74,"A"
"USGS","03447687",2002-04-10,5.56,"A"
"USGS","03447687",2002-04-11,5.24,"A"
"USGS","03447687",2002-04-12,5,"A"
"USGS","03447687",2002-04-13,5.04,"A"
"USGS","03447687",2002-04-14,5.07,"A"
"USGS","03447687",2002-04-15,5.01,"A"
"USGS","03447687",2002-04-16,4.95,"A"
"USGS","03447687",2002-04-17,4.84,"A"
"USGS","03447687",2002-04-18,4.92,"A"
"USGS","03447687",2002-04-19,4.88,"A"
"USGS","03447687",2002-04-20,4.81,"A"
"USGS","03447687",2002-04-21,4.72,"A"
"USGS","03447687",2002-04-22,4.64,"A"
"USGS","03447687",2002-04-23,4.55,"A"
"USGS","03447687",2002-04-24,4.49,"A"
"USGS","03447687",2002-04-25,4.67,"A"
"USGS","03447687",2002-04-26,4.65,"A"
"USGS","03447687",2002-04-27,4.49,"A"
"USGS","03447687",2002-04-28,4.46,"A"
"USGS","03447687",2002-04-29,4.44,"A"
"USGS","03447687",2002-04-30,4.35,"A"
"USGS","03447687",2002-05-01,4.82,"A"
"USGS","03447687",2002-05-02,5.03,"A"
"USGS","03447687",2002-05-03,4.67,"A"
"USGS","03447687",2002-05-04,5.57,"A"
"USGS","03447687",2002-05-05,6.34,"A"
"USGS","03447687",2002-05-06,5.48,"A"
"USGS","03447687",2002-05-07,5.12,"A"
"USGS","03447687",2002-05-08,4.93,"A"
"USGS","03447687",2002-05-09,4.79,"A"
"USGS","03447687",2002-05-10,4.79,"A"
"USGS","03447687",2002-05-11,4.81,"A"
"USGS","03447687",2002-05-12,4.68,"A"
"USGS","03447687",2002-05-13,4.62,"A"
"USGS","03447687",2002-05-14,5.1,"A"
"USGS","03447687",2002-05-15,4.75,"A"
"USGS","03447687",2002-05-16,4.55,"A"
"USGS","03447687",2002-05-17,4.46,"A"
"USGS","03447687",2002-05-18,4.67,"A"
"USGS","03447687",2002-05-19,4.65,"A"
"USGS","03447687",2002-05-20,4.42,"A"
"USGS","03447687",2002-05-21,4.36,"A"
"USGS","03447687",2002-05-22,4.33,"A"
"USGS","03447687",2002-05-23,4.28,"A"
"USGS","03447687",2002-05-24,4.24,"A"
"USGS","03447687",2002-05-25,4.2,"A"
"USGS","03447687",2002-05-26,4.16,"A"
"USGS","03447687",2002-05-27,4.47,"A"
"USGS","03447687",2002-05-28,5.03,"A"
"USGS","03447687",2002-05-29,4.44,"A"
"USGS","03447687",2002-05-30,4.26,"A"
"USGS","03447687",2002-05-31,4.22,"A"
"USGS","03447687",2002-06-01,4.36,"A"
"USGS","03447687",2002-06-02,4.3,"A"
"USGS","03447687",2002-06-03,4.12,"A"
"USGS","03447687",2002-06-04,4.14,"A"
"USGS","03447687",2002-06-05,4.47,"A"
"USGS","03447687",2002-06-06,5.1,"A"
"USGS","03447687",2002-06-07,4.98,"A"
"USGS","03447687",2002-06-08,4.49,"A"
"USGS","03447687",2002-06-09,4.3,"A"
"USGS","03447687",2002-06-10,4.19,"A"
"USGS","03447687",2002-06-11,4.09,"A"
"USGS","03447687",2002-06-12,4.03,"A"
"USGS","03447687",2002-06-13,3.98,"A"
"USGS","03447687",2002-06-14,4.02,"A"
"USGS","03447687",2002-06-15,4.01,"A"
"USGS","03447687",2002-06-16,3.93,"A"
"USGS","03447687",2002-06-17,3.86,"A"
"USGS","03447687",2002-06-18,3.82,"A"
"USGS","03447687",2002-06-19,3.77,"A"
"USGS","03447687",2002-06-20,3.73,"A"
"USGS","03447687",2002-06-21,3.68,"A"
"USGS","03447687",2002-06-22,3.64,"A"
"USGS","03447687",2002-06-23,3.64,"A"
"USGS","03447687",2002-06-24,3.75,"A"
"USGS","03447687",2002-06-25,3.72,"A"
"USGS","03447687",2002-06-26,3.86,"A"
"USGS","03447687",2002-06-27,5.53,"A"
"USGS","03447687",2002-06-28,4.78,"A"
"USGS","03447687",2002-06-29,4.33,"A"
"USGS","03447687",2002-06-30,4.22,"A"
"USGS","03447687",2002-07-01,4.01,"A"
"USGS","03447687",2002-07-02,3.95,"A"
"USGS","03447687",2002-07-03,3.97,"A"
"USGS","03447687",2002-07-04,3.95,"A"
"USGS","03447687",2002-07-05,3.87,"A"
"USGS","03447687",2002-07-06,3.73,"A"
"USGS","03447687",2002-07-07,3.63,"A"
"USGS","03447687",2002-07-08,3.59,"A"
"USGS","03447687",2002-07-09,3.53,"A"
"USGS","03447687",2002-07-10,3.51,"A"
"USGS","03447687",2002-07-11,3.93,"A"
"USGS","03447687",2002-07-12,3.83,"A"
"USGS","03447687",2002-07-13,3.93,"A"
"USGS","03447687",2002-07-14,4.27,"A"
"USGS","03447687",2002-07-15,4.53,"A"
"USGS","03447687",2002-07-16,4.3,"A"
"USGS","03447687",2002-07-17,4,"A"
"USGS","03447687",2002-07-18,3.86,"A"
"USGS","03447687",2002-07-19,3.72,"A"
"USGS","03447687",2002-07-20,3.63,"A"
"USGS","03447687",2002-07-21,3.6,"A"
"USGS","03447687",2002-07-22,3.58,"A"
"USGS","03447687",2002-07-23,3.53,"A"
"USGS","03447687",2002-07-24,3.56,"A"
"USGS","03447687",2002-07-25,3.73,"A"
"USGS","03447687",2002-07-26,3.79,"A"
"USGS","03447687",2002-07-27,3.83,"A"
"USGS","03447687",2002-07-28,4.08,"A"
"USGS","03447687",2002-07-29,3.74,"A"
"USGS","03447687",2002-07-30,3.5,"A"
"USGS","03447687",2002-07-31,3.41,"A"
"USGS","03447687",2002-08-01,3.35,"A"
"USGS","03447687",2002-08-02,3.37,"A"
"USGS","03447687",2002-08-03,3.34,"A"
"USGS","03447687",2002-08-04,3.26,"A"
"USGS","03447687",2002-08-05,3.21,"A"
"USGS","03447687",2002-08-06,3.16,"A"
"USGS","03447687",2002-08-07,3.11,"A"
"USGS","03447687",2002-08-08,3.08,"A"
"USGS","03447687",2002-08-09,3.04,"A"
"USGS","03447687",2002-08-10,3.03,"A"
"USGS","03447687",2002-08-11,3.02,"A"
"USGS","03447687",2002-08-12,3.01,"A"
"USGS","03447687",2002-08-13,2.98,"A"
"USGS","03447687",2002-08-14,2.95,"A"
"USGS","03447687",2002-08-15,2.99,"A"
"USGS","03447687",2002-08-16,3.4,"A"
"USGS","03447687",2002-08-17,3.77,"A"
"USGS","03447687",2002-08-18,3.53,"A"
"USGS","03447687",2002-08-19,3.73,"A"
"USGS","03447687",2002-08-20,3.56,"A"
"USGS","03447687",2002-08-21,3.42,"A"
"USGS","03447687",2002-08-22,3.22,"A"
"USGS","03447687",2002-08-23,3.19,"A"
"USGS","03447687",2002-08-24,3.2,"A"
"USGS","03447687",2002-08-25,3.27,"A"
"USGS","03447687",2002-08-28,4,"A"
"USGS","03447687",2002-08-29,3.62,"A"
"USGS","03447687",2002-08-30,3.42,"A"
"USGS","03447687",2002-08-31,3.35,"A"
"USGS","03447687",2002-09-01,3.33,"A"
"USGS","03447687",2002-09-02,3.3,"A"
"USGS","03447687",2002-09-03,3.24,"A"
"USGS","03447687",2002-09-04,3.2,"A"
"USGS","03447687",2002-09-05,3.19,"A"
"USGS","03447687",2002-09-06,3.11,"A"
"USGS","03447687",2002-09-07,3.06,"A"
"USGS","03447687",2002-09-08,3.01,"A"
"USGS","03447687",2002-09-09,2.99,"A"
"USGS","03447687",2002-09-10,2.95,"A"
"USGS","03447687",2002-09-11,2.91,"A"
"USGS","03447687",2002-09-12,2.88,"A"
"USGS","03447687",2002-09-13,2.87,"A"
"USGS","03447687",2002-09-14,3.07,"A"
"USGS","03447687",2002-09-15,4.32,"A"
"USGS","03447687",2002-09-16,4.85,"A"
"USGS","03447687",2002-09-17,4.17,"A"
"USGS","03447687",2002-09-18,3.73,"A"
"USGS","03447687",2002-09-19,3.57,"A"
"USGS","03447687",2002-09-20,3.47,"A"
"USGS","03447687",2002-09-21,3.95,"A"
"USGS","03447687",2002-09-22,4.93,"A"
"USGS","03447687",2002-09-23,5.02,"A"
"USGS","03447687",2002-09-24,4.4,"A"
"USGS","03447687",2002-09-25,4.06,"A"
"USGS","03447687",2002-09-26,5.53,"A"
"USGS","03447687",2002-09-27,8.01,"A"
"USGS","03447687",2002-09-28,8.34,"A"
"USGS","03447687",2002-09-29,7.83,"A"
"USGS","03447687",2002-09-30,5.64,"A"
"USGS","03447687",2002-10-01,5,"A"
"USGS","03447687",2002-10-02,4.73,"A"
"USGS","03447687",2002-10-03,4.53,"A"
"USGS","03447687",2002-10-04,4.36,"A"
"USGS","03447687",2002-10-05,4.27,"A"
"USGS","03447687",2002-10-06,4.2,"A"
"USGS","03447687",2002-10-07,4.1,"A"
"USGS","03447687",2002-10-08,4.03,"A"
"USGS","03447687",2002-10-09,3.98,"A"
"USGS","03447687",2002-10-10,3.96,"A"
"USGS","03447687",2002-10-11,4,"A"
"USGS","03447687",2002-10-12,4.01,"A"
"USGS","03447687",2002-10-13,3.94,"A"
"USGS","03447687",2002-10-14,3.88,"A"
"USGS","03447687",2002-10-15,4.23,"A"
"USGS","03447687",2002-10-16,6.95,"A"
"USGS","03447687",2002-10-17,6.19,"A"
"USGS","03447687",2002-10-18,5.09,"A"
"USGS","03447687",2002-10-19,4.72,"A"
"USGS","03447687",2002-10-20,4.53,"A"
"USGS","03447687",2002-10-21,4.45,"A"
"USGS","03447687",2002-10-22,4.48,"A"
"USGS","03447687",2002-10-23,4.35,"A"
"USGS","03447687",2002-10-24,4.24,"A"
"USGS","03447687",2002-10-25,4.21,"A"
"USGS","03447687",2002-10-26,4.34,"A"
"USGS","03447687",2002-10-27,4.32,"A"
"USGS","03447687",2002-10-28,4.27,"A"
"USGS","03447687",2002-10-29,4.54,"A"
"USGS","03447687",2002-10-30,4.66,"A"
"USGS","03447687",2002-10-31,4.52,"A"
"USGS","03447687",2002-11-01,4.35,"A"
"USGS","03447687",2002-11-02,4.26,"A"
"USGS","03447687",2002-11-03,4.19,"A"
"USGS","03447687",2002-11-04,4.15,"A"
"USGS","03447687",2002-11-05,4.21,"A"
"USGS","03447687",2002-11-06,5.14,"A"
"USGS","03447687",2002-11-07,4.96,"A"
"USGS","03447687",2002-11-08,4.62,"A"
"USGS","03447687",2002-11-09,4.51,"A"
"USGS","03447687",2002-11-10,4.51,"A"
"USGS","03447687",2002-11-11,6.24,"A"
"USGS","03447687",2002-11-12,7.46,"A"
"USGS","03447687",2002-11-13,6.54,"A"
"USGS","03447687",2002-11-14,5.76,"A"
"USGS","03447687",2002-11-15,5.39,"A"
"USGS","03447687",2002-11-16,7.1,"A"
"USGS","03447687",2002-11-17,7.97,"A"
"USGS","03447687",2002-11-18,6.7,"A"
"USGS","03447687",2002-11-19,6,"A"
"USGS","03447687",2002-11-20,5.64,"A"
"USGS","03447687",2002-11-21,5.55,"A"
"USGS","03447687",2002-11-22,5.54,"A"
"USGS","03447687",2002-11-23,5.26,"A"
"USGS","03447687",2002-11-24,5.11,"A"
"USGS","03447687",2002-11-25,5,"A"
"USGS","03447687",2002-11-26,4.92,"A"
"USGS","03447687",2002-11-27,4.84,"A"
"USGS","03447687",2002-11-28,4.77,"A"
"USGS","03447687",2002-11-29,4.71,"A"
"USGS","03447687",2002-11-30,4.67,"A"
"USGS","03447687",2002-12-01,4.61,"A"
"USGS","03447687",2002-12-02,4.55,"A"
"USGS","03447687",2002-12-03,4.52,"A"
"USGS","03447687",2002-12-04,4.53,"A"
"USGS","03447687",2002-12-05,5.84,"A"
"USGS","03447687",2002-12-06,6.27,"A"
"USGS","03447687",2002-12-07,5.48,"A"
"USGS","03447687",2002-12-08,5.18,"A"
"USGS","03447687",2002-12-09,5.03,"A"
"USGS","03447687",2002-12-10,4.95,"A"
"USGS","03447687",2002-12-11,6.46,"A"
"USGS","03447687",2002-12-12,6.13,"A"
"USGS","03447687",2002-12-13,6.49,"A"
"USGS","03447687",2002-12-14,7.32,"A"
"USGS","03447687",2002-12-15,6.41,"A"
"USGS","03447687",2002-12-16,5.9,"A"
"USGS","03447687",2002-12-17,5.61,"A"
"USGS","03447687",2002-12-18,5.4,"A"
"USGS","03447687",2002-12-19,5.27,"A"
"USGS","03447687",2002-12-20,7.33,"A"
"USGS","03447687",2002-12-21,7.08,"A"
"USGS","03447687",2002-12-22,6.15,"A"
"USGS","03447687",2002-12-23,5.82,"A"
"USGS","03447687",2002-12-24,7.98,"A"
"USGS","03447687",2002-12-25,9.4,"A"
"USGS","03447687",2002-12-26,8.11,"A"
"USGS","03447687",2002-12-27,6.7,"A"
"USGS","03447687",2002-12-28,6.26,"A"
"USGS","03447687",2002-12-29,6,"A"
"USGS","03447687",2002-12-30,5.79,"A"
"USGS","03447687",2002-12-31,5.63,"A"
"USGS","03447687",2003-01-01,6.19,"A"
"USGS","03447687",2003-01-02,6.37,"A"
"USGS","03447687",2003-01-03,6.16,"A"
"USGS","03447687",2003-01-04,5.94,"A"
"USGS","03447687",2003-01-05,5.73,"A"
"USGS","03447687",2003-01-06,5.6,"A"
"USGS","03447687",2003-01-07,5.48,"A"
"USGS","03447687",2003-01-08,5.4,"A"
"USGS","03447687",2003-01-09,5.34,"A"
"USGS","03447687",2003-01-10,5.26,"A"
"USGS","03447687",2003-01-11,5.17,"A"
"USGS","03447687",2003-01-12,5.08,"A"
"USGS","03447687",2003-01-13,5.04,"A"
"USGS","03447687",2003-01-14,5.01,"A"
"USGS","03447687",2003-01-15,4.97,"A"
"USGS","03447687",2003-01-16,4.92,"A"
"USGS","03447687",2003-01-17,4.95,"A"
"USGS","03447687",2003-01-18,4.82,"A"
"USGS","03447687",2003-01-19,4.78,"A"
"USGS","03447687",2003-01-20,4.86,"A"
"USGS","03447687",2003-01-21,4.87,"A"
"USGS","03447687",2003-01-22,4.87,"A"
"USGS","03447687",2003-01-23,4.79,"A"
"USGS","03447687",2003-01-24,4.57,"A"
"USGS","03447687",2003-01-25,4.68,"A"
"USGS","03447687",2003-01-26,4.69,"A"
"USGS","03447687",2003-01-27,4.62,"A"
"USGS","03447687",2003-01-28,4.58,"A"
"USGS","03447687",2003-01-29,4.61,"A"
"USGS","03447687",2003-01-30,4.85,"A"
"USGS","03447687",2003-01-31,4.88,"A"
"USGS","03447687",2003-02-01,4.73,"A"
"USGS","03447687",2003-02-02,4.65,"A"
"USGS","03447687",2003-02-03,4.6,"A"
"USGS","03447687",2003-02-04,4.71,"A"
"USGS","03447687",2003-02-05,4.84,"A"
"USGS","03447687",2003-02-06,4.66,"A"
"USGS","03447687",2003-02-07,4.51,"A"
"USGS","03447687",2003-02-08,4.54,"A"
"USGS","03447687",2003-02-09,4.65,"A"
"USGS","03447687",2003-02-10,4.6,"A"
"USGS","03447687",2003-02-11,4.53,"A"
"USGS","03447687",2003-02-12,4.61,"A"
"USGS","03447687",2003-02-13,4.68,"A"
"USGS","03447687",2003-02-14,4.65,"A"
"USGS","03447687",2003-03-01,5.92,"A"
"USGS","03447687",2003-03-02,5.78,"A"
